"Year","District","Trespass","Theft","Battery","Narcotics","Assualt","Robbery","OtherOffense","Deceptive","CriminalDmg","Burglary","SexOffense","Weapons","Kidnapping","Interference","SexAssualt","VehicleTheft","Prostitution","Arson","PublicPeace","ChildrenOffense","Liquor","Intimidation","Stalking","Gambling","NonCriminal","Obscenity","PublicIndecency","Narcotic","Homicide","CCViolation","Trafficking","Ritualism","Domestic","Total"
2009,"District 11",326,2704,4876,5995,1433,1026,1164,728,2095,889,56,342,15,47,70,764,370,38,103,123,28,8,2,191,0,1,1,0,55,0,0,0,0,23450
2009,"District 22",405,2430,2281,1153,897,553,1031,511,1799,1281,37,206,29,16,48,509,34,16,91,124,25,12,14,20,0,3,0,0,19,0,0,0,0,13544
2009,"District 14",318,4315,2285,957,739,644,865,525,2221,1359,52,100,7,12,49,808,147,36,99,105,49,8,4,3,0,2,1,3,15,0,0,0,0,15728
2009,"District 31",0,0,0,12,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
2009,"District 21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,"District 13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,"District 23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"District 8",311,3376,2949,1210,1087,639,1336,1005,2269,1161,65,193,24,76,102,849,60,35,198,191,11,5,12,16,7,7,0,0,31,4,0,0,0,17229
2015,"District 10",206,1624,2713,1506,790,542,771,420,1339,468,57,242,9,38,63,465,2,32,188,115,31,7,3,32,3,3,0,0,30,2,0,0,0,11701
2015,"District 12",268,3628,1969,584,729,387,646,767,1494,646,50,89,0,16,66,670,25,18,98,76,19,6,5,1,2,1,0,0,19,0,2,0,0,12281
2015,"District 18",406,5287,1249,297,378,281,344,1385,788,299,40,33,10,22,68,208,68,8,67,24,44,5,5,0,3,1,1,0,1,1,0,0,0,11323
2015,"District 7",303,1919,3552,2142,1132,589,1321,565,1584,755,54,377,12,146,74,530,175,32,162,133,7,4,6,77,0,1,2,0,39,5,1,0,0,15699
2015,"District 25",276,2735,2876,1366,999,547,1254,781,1632,732,68,163,13,122,79,775,126,32,137,176,16,10,13,8,1,4,0,2,33,2,0,0,0,14978
2015,"District 6",385,2843,3364,1235,1252,769,1082,840,1667,1024,37,311,16,91,71,546,50,32,156,120,8,4,10,17,0,4,0,0,41,1,0,0,0,15976
